matched term,file name,match line number,know option,think option,verb,token,force,comp,subj,unique id,multi verb context,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors
you think that's the way she's viewing it?,charlie dinner.cha,3754,know,think,think,think,interrogative,declarative,2,5.014,yes,charlie,dinner,"MOTHER: I… I agree but you're speaking from the conservationist's point of view, and it would be interesting to hear...","FATHER: well, even...  even from a human, uh, from an aesthetic point of view in which she want...",CHILD: I spilled some.,"CHILD: I spilled some, I spilled some, I spilled some, I spilled some.","FATHER: I think there's some... supposed to be, what twice as many people in the... by the year two thousand or something like that.",FATHER: does she want that?,MOTHER: I don't know whether she...,"CHILD: I spilled, I spilled, I spilled.",FATHER: it seems to me she's taking very much in the attitude of…,"FATHER:  ""I find pleasure in it right now and it's somebody else's problem later.""",MOTHER: you think that's the way she's viewing it?,CHILD: I spilled it.,CHILD: I spilled...,666,think-interrogative-declarative
do you think that cat looks happy? ,charlie fathertoy.cha,2789,know,think,think,think,interrogative,declarative,2,5.083,yes,charlie,father,FATHER: but he after all caught the cat. ,"FATHER: so why should she complain, right? ",CHILD: right. ,FATHER: and then the cat is about to go up the tree. ,CHILD: yeah. ,FATHER: yeah... And... ,FATHER: look he scratched the policeman's face off. ,FATHER: and then... the policeman's trying to catch the cat. ,FATHER: and here... he got him. ,FATHER: what do you think the cat…,FATHER: do you think that cat looks happy? ,CHILD: no he looks mad. ,FATHER: he looks mad. ,666,think-interrogative-declarative
you know what  lasagne is? ,charlie fathertoy.cha,667,know,think,know,know,interrogative,interrogative,2,6.01,no,charlie,father,CHILD: [noise] some sugar. ,FATHER: sugar. ,CHILD: chocolate. ,FATHER: chocolate. ,CHILD: Oreos. ,FATHER: Oreos. ,FATHER: oh I see something that I would love to have for lunch. ,FATHER: not that. ,FATHER: lasagne. ,CHILD: mm lasagne. ,FATHER: you know what  lasagne is? ,CHILD: yeah. ,CHILD: hey where that box is? ,666,know-interrogative-interrogative
you know that Betty's going to bring that dog to Israel?,david dinner.cha,561,know,think,know,know,interrogative,declarative,2,4.008,no,david,dinner,MOTHER: and... a big cat.,CHILD: a what...,MOTHER: and they were fighting with each other.,"CHILD: uh, how did Betty stopped it?",MOTHER: she said…,"MOTHER: ""stop it you guys!""",CHILD: and did they do it?,"MOTHER: yeah, they did.",CHILD: what?,"MOTHER: yeah, they stopped.",MOTHER: you know that Betty's going to bring that dog to Israel?,MOTHER: I don't believe it.,FATHER: hm.,666,know-interrogative-declarative
"honey, I really think it's gonna be too late.",david dinner.cha,349,know,think,think,think,declarative,declarative,1,2.253,no,david,dinner,"CHILD: I wanna do it, too.",FATHER: ...and some comedians.,"CHILD: I wanna come, too.",CHILD: we can…,CHILD: I wanna bring a blanket.,CHILD: cause I…,"CHILD: Mommy, please?",MOTHER: no.,CHILD: can I?,MOTHER: I …,"MOTHER: honey, I really think it's gonna be too late.",CHILD: I still wanna go.,MOTHER: you do.,666,think-declarative-declarative
do you know they don't have bagels in Israel?,david dinner.cha,1271,know,think,know,know,interrogative,declarative,2,4.01,no,david,dinner,CHILD: I don't like these... anyway.,FATHER: would you eat them in a box?,FATHER: would you eat them with a…,CHILD: [noise],FATHER: not in a box.,CHILD: not in a box.,FATHER: not with a fox.,FATHER: not in a house.,CHILD: not in a box.,MOTHER: how bout with some lox?,MOTHER: do you know they don't have bagels in Israel?,FATHER: no…,MOTHER:  couldn't believe it.,666,know-interrogative-declarative
I know what we could do.,david dinner.cha,1401,know,think,know,know,declarative,interrogative,1,3.008,yes,david,dinner,FATHER: I'm afraid we are… I think with your cream cheese and… uh… and…,"MOTHER: what're we gonna do when we wanna have a garlic bagel, David, or an onion bagel?",CHILD: we can… um.,CHILD: you know what you can do?,MOTHER: what?,SISTER: cream cheese and bagel on a... on a...  on a pretzel.,MOTHER: on a pretzel.,MOTHER: oh dear.,"MOTHER: it's just not the same, though.",CHILD: is that...,MOTHER: I know what we could do.,MOTHER: we could have Grandma Rose send us some in the mail.,CHILD: yeah!,666,know-declarative-interrogative
I know you have Rice Krispies here in the store someplace.,david mothertoy.cha,315,know,think,know,know,declarative,declarative,1,1.005,no,david,mother,MOTHER: you're trying to make me buy everything.,CHILD: no.,CHILD: no.,CHILD: because that's what you have to have.,MOTHER: okay.,MOTHER: Mr Storeman.,"MOTHER: there's one thing that I really, really, really want.",MOTHER: and I would really appreciate it if you would get it for me.,CHILD: what is that?,MOTHER: and that's some Rice Krispies.,MOTHER: I know you have Rice Krispies here in the store someplace.,MOTHER: can you find me some?,CHILD: I don't have any.,666,know-declarative-declarative
no ya know Daddy wasn't home.,eddie dinner.cha,992,know,think,know,know,declarative,declarative,2,1.002,no,eddie,dinner,MOTHER: [noise],MOTHER: did you tell Daddy who had supper with us last night?,MOTHER: [noise],MOTHER: who ate here last night?,FATHER: I didn't see you last night.,CHILD: Uncle Allen.,FATHER: Allen who?,CHILD: Allen Reed.,FATHER: okay.,FATHER: I didn't see you last night.,MOTHER: no ya know Daddy wasn't home.,FATHER: tell me what you did last night.,"MOTHER: tell him, yeah tell him what happened.",666,know-declarative-declarative
I know where that is.,eddie dinner.cha,510,know,think,know,know,declarative,interrogative,1,3.006,yes,eddie,dinner,FATHER: now tell me what you did.,"CHILD: well, you know where I went with Philip and baby Mark?","FATHER: nope, where'd you go?",CHILD: to the playground with Philip and baby Mark and Joel and Rachel.,FATHER: which playground was this ?,FATHER: what playground was this?,MOTHER: Clarendon Street.,CHILD: Clarendon Street.,FATHER: oh yeah.,FATHER: mhm.,FATHER: I know where that is.,MOTHER: and who did we see when we was at the playground?,CHILD: Yoye.,666,know-declarative-interrogative
"oh I know what you're gonna buy, too.",eddie mothertoy.cha,1803,know,think,know,know,declarative,interrogative,1,3.007,no,eddie,mother,CHILD: I don't wanna.,MOTHER: okay do you wanna buy something from me?,CHILD: no.,MOTHER: huh?,CHILD: what?,MOTHER: would you like to buy something from me?,"MOTHER: I'll be a store lady, okay?",CHILD: nah.,MOTHER: and... you come over and buy something.,CHILD: no I wanna be…,"MOTHER: oh I know what you're gonna buy, too.",CHILD: no I wanna be…,MOTHER: you wanna be the storeman?,666,know-declarative-interrogative
"you can see… you can see Michael's daddy play, you know Michael's daddy plays baseball... for the Red Sox?",frank dinner.cha,741,know,think,know,know,interrogative,declarative,2,4.009,yes,frank,dinner,MOTHER: some rental agent just tried to make it sound better than it was.,FATHER: they probably came in without a lease too.,FATHER: they just there for such a short period.,MOTHER: oh they think... they're giving six week… six month leases.,FATHER: oh.,"MOTHER: Frank, you stop that…",FATHER: don't kick please.,FATHER: you know what I got... for next month?,CHILD: what?,FATHER: two tickets for the Red Sox game.,"MOTHER: you can see… you can see Michael's daddy play, you know Michael's daddy plays baseball... for the Red Sox?",MOTHER: something else.,MOTHER: what else?,666,know-interrogative-declarative
you know this surcharge thing that everybody got back?,frank dinner.cha,1040,know,think,know,know,interrogative,declarative,2,4.016,no,frank,dinner,CHILD: I want it.,MOTHER: yeah.,MOTHER: I'll cut it.,MOTHER: I'll cut it.,CHILD: [noise] can have it.,MOTHER: ow.,MOTHER: ow.,MOTHER: ow ow ow.,CHILD: where's the potatoes?,MOTHER: something about…,MOTHER: you know this surcharge thing that everybody got back?,"MOTHER: well, he counted that as... as how much... as part of our overpayment so that we reduced our estimator.",FATHER: yeah.,666,know-interrogative-declarative
I know where they go.,frank fathertoy.cha,659,know,think,know,know,declarative,interrogative,1,3.004,yes,frank,father,CHILD: this go in here?,FATHER: I don't think so.,FATHER: you know something else goes in there first.,FATHER: wait a minute.,CHILD: what?,FATHER: doesn't something go in there?,FATHER: what about these.,FATHER: where do they go?,FATHER: uh oh.,FATHER: oh.,FATHER: I know where they go.,FATHER: you know where they go?,FATHER: where?,666,know-declarative-interrogative
"okay, do you know where to put that?",frank mothertoy.cha,1817,know,think,know,know,interrogative,interrogative,2,6.193,no,frank,mother,MOTHER: is there another one?,MOTHER: another color?,CHILD: ah... there's only three.,MOTHER: how bout that yellow one?,CHILD: this one?,MOTHER: yeah.,MOTHER: but there should be another yellow one.,MOTHER: oh there it is underneath there.,MOTHER: okay.,CHILD: where?,"MOTHER: okay, do you know where to put that?",CHILD: yeah.,CHILD: like this?,666,know-interrogative-interrogative
did his mother know he was here?,frank dinner.cha,341,know,think,know,know,interrogative,declarative,3,4.002,yes,frank,dinner,FATHER: you know why you didn't go to the pool?,CHILD: why?,FATHER: it was raining.,CHILD: oh.,CHILD: I already picked my salad.,MOTHER: oh.,MOTHER: you did pick your salad?,MOTHER: that's healthy.,MOTHER: now tell Daddy about how you played with Michael today.,"MOTHER: on the way home from school we met him playing alone and so he came here at one and stayed til four o'clock, right?",FATHER: did his mother know he was here?,MOTHER: well he called her.,FATHER: he knows his phone number?,1,know-interrogative-declarative
I know what it is.,guy fathertoy.cha,2076,know,think,know,know,declarative,interrogative,1,3.013,yes,guy,father,FATHER: what have we done wrong?,"FATHER: hmm [noise] perhaps try that now, Guy.",CHILD: what?,CHILD: what?,"FATHER: try it... try it now, sweetheart.",FATHER: I don't think that makes a difference.,FATHER: do you know something?,CHILD: what?,FATHER: I think... we're doing something wrong.,FATHER: ah!,FATHER: I know what it is.,FATHER: I know.,FATHER: let's take it off.,666,know-declarative-interrogative
I know what happens.,guy mothertoy.cha,2323,know,think,know,know,declarative,interrogative,1,3.0154,no,guy,mother,MOTHER: you didn't lose your kitty.,CHILD: sit.,MOTHER: sit kitty?,CHILD: uhhuh.,MOTHER: mm.,MOTHER: why?,MOTHER: is the kitty running too fast or something?,CHILD: uhhuh.,MOTHER: mm.,MOTHER: oh.,MOTHER: I know what happens.,MOTHER: the policeman says to the cat.,"MOTHER: ""come here cat.""",666,know-declarative-interrogative
and you know what she does?,guy mothertoy.cha,2706,know,think,know,know,interrogative,interrogative,2,6.17,yes,guy,mother,MOTHER: the cat goes up the tree.,MOTHER: and you know what happens when cats go up trees?,MOTHER: it's hard to find them.,MOTHER: but the policeman grabs the kitty.,MOTHER: uh oh.,MOTHER: they fall down.,MOTHER: mhm.,MOTHER: you know what I discovered?,CHILD: what?,MOTHER: this lady... is a nurse like nurse Mathilda.,MOTHER: and you know what she does?,MOTHER: she puts on her nursing costume.,MOTHER: see it?,666,know-interrogative-interrogative
"you know what kind of fish that is, Helen?",helen dinner.cha,3056,know,think,know,know,interrogative,interrogative,2,6.011,no,helen,dinner,CHILD: the telephone rock.,CHILD: dee dee dee dee.,"CHILD: [noise] rock, rock, rock.","CHILD: that's for me, Ma [noise].",FATHER: poopy?,CHILD: what?,FATHER: try a little more fish.,CHILD: no [noise].,FATHER: just a little.,CHILD: naw.,"MOTHER: you know what kind of fish that is, Helen?",CHILD: what?,MOTHER: filet of sole.,666,know-interrogative-interrogative
I know you don't.,helen dinner.cha,526,know,think,know,know,declarative,declarative,1,1.006,no,helen,dinner,MOTHER: when is the corn gonna be ready?,CHILD: yeah.,"MOTHER: oh, in about ten minutes.","CHILD: Mommy, I want some more soup.",MOTHER: you do?,"MOTHER: alright here, I'll give you some of mine, okay?","SISTER: Ma, I don't want any more.","FATHER: you can have some more carrots, too.",MOTHER: oh.,SISTER: I don't want any more.,MOTHER: I know you don't.,MOTHER: it's alright [noise].,"CHILD: thank you, Daddy.",666,know-declarative-declarative
I think this is a funny funny book that doesn't have any words.,isadora mothertoy.cha,2410,know,think,think,think,declarative,declarative,1,2.153,yes,isadora,mother,MOTHER: what?,MOTHER: come here.,MOTHER: can you bring your chair over?,CHILD: yeah.,MOTHER: and we'll look at this book.,CHILD: I'm… think I'm...,CHILD: I'm wanna  play in the store.,CHILD: Mommy…,MOTHER: you know what?,CHILD: what?,MOTHER: I think this is a funny funny book that doesn't have any words.,CHILD: why ?,MOTHER: where did ... where did we find a…,666,think-declarative-declarative
you know when you use a jack?,isadora mothertoy.cha,2288,know,think,know,know,interrogative,interrogative,2,6.002,yes,isadora,mother,MOTHER: isn't it?,CHILD: yeah.,MOTHER: yeah.,CHILD: now.,CHILD: this goes like that.,MOTHER: mhm that's a…,CHILD: now…,MOTHER: you know what this is called?,CHILD: what?,MOTHER: this is called a jack.,MOTHER: you know when you use a jack?,CHILD: what?,MOTHER: when you have a flat tire.,666,know-interrogative-interrogative
you know how it works?,isadora mothertoy.cha,3231,know,think,know,know,interrogative,interrogative,2,6.177,yes,isadora,mother,INVESTIGATOR: well.,INVESTIGATOR: you can do that.,MOTHER: you wanna do that for a minute?,INVESTIGATOR: hi.,INVESTIGATOR: I brought you a present.,INVESTIGATOR: you know what that is ?,MOTHER: oh look what you have.,MOTHER: what do you say?,MOTHER: what do you say?,CHILD: thank you.,MOTHER: you know how it works?,INVESTIGATOR: oh.,INVESTIGATOR: you do I think.,666,know-interrogative-interrogative
"I know you're finished, Rachi.",john dinner.cha,2188,know,think,know,know,declarative,declarative,1,1.003,yes,john,dinner,MOTHER: Jimmy Carter would win.,FATHER: I just wanted to make sure last time…,MOTHER: that what?,SISTER: I going in there.,MOTHER: I don't think so.,MOTHER: because they're working in there.,MOTHER: and they don't want you to come there now.,MOTHER: after when they're finished you can come there.,FATHER: they will be happy to have you…,SISTER: and me finished.,"MOTHER: I know you're finished, Rachi.",SISTER: [noise] please.,MOTHER: how about something else?,666,know-declarative-declarative
do you know that they go to school and they even have work to do in school?,john dinner.cha,220,know,think,know,know,interrogative,declarative,2,4.013,yes,john,dinner,FATHER: we're having supper.,CHILD: [noise],FATHER: we're having supper right now.,MOTHER: as a matter of fact we're going to close the door here.,FATHER: that's a good idea.,"MOTHER: [noise] no, no one is playing here.","MOTHER: what, Kathy it's supper time.",MOTHER: I'm not…,"MOTHER: no, I want to explain something to you.",MOTHER: Janet and Sandy are not playing now.,MOTHER: do you know that they go to school and they even have work to do in school?,FATHER: and do you know something else?,MOTHER: can you get out some glass and stuff so we can...,666,know-interrogative-declarative
but I think they're gonna put it there by themselves once they assemble it.,john mothertoy.cha,1374,know,think,think,think,declarative,declarative,1,2.166,yes,john,mother,MOTHER: because it won't fit in here.,MOTHER: oh.,MOTHER: it might.,MOTHER: yeah.,CHILD: uh.,MOTHER: I don't know.,MOTHER: we had to…,MOTHER: we can leave it.,MOTHER: that's the way we found it.,MOTHER: that is the box for the car.,MOTHER: but I think they're gonna put it there by themselves once they assemble it.,MOTHER: you did find the box.,MOTHER: I didn't even realize it was here.,666,think-declarative-declarative
"oh yeah, I know that's a lot of good stuff in there.",katie dinner.cha,2081,know,think,know,know,declarative,declarative,1,1.013,no,katie,dinner,MOTHER: we're not gonna eat here so you can have a...,AUNT: [noise] left over night is the night you guys go out [laughs].,FATHER: gonna finish your muffin?,"AUNT: no, I'll...",MOTHER: give  her time.,MOTHER: give her time.,AUNT: I like leftovers.,"MOTHER: well, there's  there's [noise] and there's macaroni.",CHILD: mm.,CHILD: mm.,"AUNT: oh yeah, I know that's a lot of good stuff in there.",AUNT: it's okay.,"AUNT: Katie, it's left over night.",666,know-declarative-declarative
do you think he'll be home later?,katie mothertoy.cha,610,know,think,think,think,interrogative,declarative,2,5.105,no,katie,mother,CHILD: tummy's hurt.,MOTHER: your tummy hurts?,CHILD: yeah.,"MOTHER: you still don't feel well, do you?",CHILD: I still don't feel well.,MOTHER: did you have medicine today?,CHILD: I did.,MOTHER: was Daddy home when you left?,MOTHER: no.,CHILD: Daddy's not home.,MOTHER: do you think he'll be home later?,CHILD: yep.,MOTHER: where's Louise?,666,think-interrogative-declarative
I think it is.,katie mothertoy.cha,166,know,think,think,think,declarative,declarative,1,2.323,yes,katie,mother,CHILD: what's that?,MOTHER: that's just a... a piano I think.,MOTHER: I don't know.,MOTHER: can you read me the story though?,MOTHER: tell me what's in this book.,CHILD: I wanna play the piano.,CHILD: well.,MOTHER: we will after we read the story.,MOTHER: let's do the story first.,CHILD: is this a piano?,MOTHER: I think it is.,MOTHER: we'll open it up in a minute.,CHILD: what?,666,think-declarative-declarative
you know you slept until daddy had to wake you up?,laurel dinner.cha,2180,know,think,know,know,interrogative,declarative,2,4.004,yes,laurel,dinner,FATHER: hang on.,"FATHER: the other thing, tootsie…",MOTHER: yeah.,CHILD: wanna get down now.,CHILD: wanna get down.,"MOTHER: you know, you're gonna wake up at about ten o'clock and tell me you're hungry.",FATHER: what time did you sleep till this morning?,MOTHER: she slept a long time.,FATHER: she slept until I woke her up to go to work.,"MOTHER: yeah, she slept a long time.",FATHER: you know you slept until daddy had to wake you up?,FATHER: do you know daddy woke you up this morning ?,MOTHER: you was a very good girl this morning.,666,know-interrogative-declarative
you know what happened?,laurel fathertoy.cha,1776,know,think,know,know,interrogative,interrogative,2,6.05,yes,laurel,father,FATHER: now put the other wheel back on.,CHILD: this.,FATHER: yep.,FATHER: I'm glad you used the black one.,FATHER: wanna use the black one or the red one?,FATHER: is it on?,CHILD: mhm.,FATHER: let's see.,FATHER: you know I think you've gotta use the other…,FATHER: let's see what…,FATHER: you know what happened?,CHILD: what?,FATHER: the nut…,666,know-interrogative-interrogative
did you know there was water on the other side?,laurel fathertoy.cha,628,know,think,know,know,interrogative,declarative,2,4.018,yes,laurel,father,FATHER: are they gonna get wet?,CHILD: yeah.,FATHER: do you think they'd better put their sw…,FATHER: look [gasp].,FATHER: you're right.,FATHER: look.,FATHER: it's a hole that's gonna go into the water.,FATHER: did you read this book before?,FATHER: have you seen this book before?,CHILD: no.,FATHER: did you know there was water on the other side?,FATHER: look.,CHILD: hey.,666,know-interrogative-declarative
I thought you were my baby.,laurel fathertoy.cha,2515,knew,thought,think,thought,declarative,declarative,1,2.212,no,laurel,father,CHILD: yeah.,CHILD: what would you like to take home.,FATHER: well.,FATHER: what do you want me to take home?,CHILD: [noise],CHILD: what... what you want to take home for your baby?,FATHER: well.,FATHER: who's my baby?,CHILD: Nancy.,FATHER: Nancy's my baby?,FATHER: I thought you were my baby.,CHILD: Nancy is.,FATHER: no.,666,think-declarative-declarative
do you know what that is?,laurel fathertoy.cha,2125,know,think,know,know,interrogative,interrogative,2,6.267,no,laurel,father,CHILD: hunhunh.,FATHER: I don't see one.,FATHER: well.,FATHER: I guess it didn't.,FATHER: you wanna put that on?,CHILD: what?,FATHER: ya want…,CHILD: [noise],FATHER: put the steering wheel back on.,FATHER: what's that?,FATHER: do you know what that is?,CHILD: [noise],FATHER: what is it?,666,know-interrogative-interrogative
you think there might be some money in there?,laurel mothertoy.cha,1744,know,think,think,think,interrogative,declarative,2,5.01,yes,laurel,mother,MOTHER: this is a little store.,MOTHER: you know when I go to the store?,MOTHER: I buy food.,MOTHER: and then the lady rings it all up on the cash register.,CHILD: yeah.,MOTHER: would you like... would you like for me to buy food?,CHILD: you play…,CHILD: put this...,MOTHER: I wonder if they have some money to play with.,MOTHER: you think so?,MOTHER: you think there might be some money in there?,CHILD: yeah.,MOTHER: how do we open this?,666,think-interrogative-declarative
do you think they'll ever catch that cat?,laurel mothertoy.cha,1236,know,think,think,think,interrogative,declarative,2,5.065,yes,laurel,mother,"MOTHER: and what happened, Laurie?",CHILD: they fell.,MOTHER: they sure did.,CHILD: why did he?,MOTHER: because he didn't know the water was there.,MOTHER: and he stepped out of the pipe and went right into the water.,MOTHER: and the cat…,MOTHER: what did the cat do?,CHILD: ran away.,MOTHER: yeah.,MOTHER: do you think they'll ever catch that cat?,CHILD: no.,MOTHER: well.,666,think-interrogative-declarative
did you know cars come apart like this?,laurel mothertoy.cha,336,know,think,know,know,interrogative,declarative,2,4.02,yes,laurel,mother,MOTHER: I had to put your light switch back on.,CHILD: [noise],MOTHER: did you have a flat tire?,MOTHER: you're gonna put a new tire on?,CHILD: mhm.,MOTHER: does this tire need to be taken off too?,MOTHER: do you know how to do that?,CHILD: [noise],MOTHER: do you like this car?,CHILD: yeah.,MOTHER: did you know cars come apart like this?,CHILD: [noise],CHILD: this.,666,know-interrogative-declarative
you think you can fix my car next time it breaks?,laurel mothertoy.cha,438,know,think,think,think,interrogative,declarative,2,5.005,no,laurel,mother,MOTHER: well.,MOTHER: you have to use a screwdriver.,MOTHER: use the screwdriver.,MOTHER: is it hard to turn?,MOTHER: I bet you can do it.,MOTHER: here.,MOTHER: let's do it together.,"MOTHER: let's turn it this way, Laurie.",MOTHER: this way.,MOTHER: there we go.,MOTHER: you think you can fix my car next time it breaks?,CHILD: [noise],MOTHER: very good.,666,think-interrogative-declarative
you know what she brought for em?,laurel mothertoy.cha,1591,know,think,know,know,interrogative,interrogative,2,6.171,yes,laurel,mother,MOTHER: poor policeman hurt himself.,MOTHER: he has a little cane he's walking on.,MOTHER: and the little boy got into the carriage.,MOTHER: and the cat is walking behind him.,MOTHER: well.,MOTHER: I guess the little girl's gonna bring em all home.,MOTHER: let's see.,MOTHER: do you think she's gonna bring em into her house?,CHILD: no.,MOTHER: oh.,MOTHER: you know what she brought for em?,CHILD: [noise],MOTHER: what does she have for them?,666,know-interrogative-interrogative
I think we forgot…,laurel mothertoy.cha,673,know,think,think,think,declarative,declarative,1,2.124,yes,laurel,mother,MOTHER: this's a screw.,MOTHER: okay?,MOTHER: put that in there.,MOTHER: and can you push it in with the screwdriver?,MOTHER: or with your hands if you want?,MOTHER: oh.,MOTHER: that went in easy.,CHILD: [noise],CHILD: [noise],"MOTHER: you know what I think we forgot, Laurie?",MOTHER: I think we forgot…,MOTHER: I don't know where this goes.,MOTHER: do you remember where it goes?,666,think-declarative-declarative
I know what it is.,martin dinner.cha,2690,know,think,know,know,declarative,interrogative,1,3.012,no,martin,dinner,CHILD: [noise],MOTHER: why didn't you eat those potatoes?,MOTHER: you did a very nice job.,MOTHER: you ate all your scallops and your salad.,MOTHER: why didn't you eat some potato?,FATHER: what's the red stuff on the floor here?,CHILD: Daddy ate the scallops.,MOTHER: yeah [laughs] but Daddy didn't eat too many of em.,"FATHER: oh, God!",FATHER: there's chopped up…,MOTHER: I know what it is.,FATHER: chopped up crayon.,CHILD: I eat too many of em.,666,know-declarative-interrogative
